"id","dt","image","time_seen","location","site","CPMD","side","season"
"NHT-R127",2015-07-22,"Nagarahole\5371_NH_PH_220715",1899-12-30 12:00:00,NA,"Nagarahole","PH","L","2015"
"Nagarahole13_TGRu214",2015-07-27,"Unknown\5372_UN_PH_270715 (1)",1899-12-30 12:00:00,NA,"Unknown","PH","L","2015"
"Nagarahole13_TGRu214",2015-07-27,"Unknown\5372_UN_PH_270715 (1)",1899-12-30 12:00:00,NA,"Unknown","PH","L","2015"
"Nagarahole15_TGRu285",2015-07-28,"Unknown\5375_UN_PH_270715 (4)",1899-12-30 12:00:00,NA,"Unknown","PH","R","2015"
"Nagarahole15_TGRu285",2015-07-28,"Unknown\5375_UN_PH_270715 (4)",1899-12-30 12:00:00,NA,"Unknown","PH","R","2015"
"Nagarahole16_TGRu143",2015-07-28,"Unknown\5374_UN_PH_270715 (3)p44",1899-12-30 12:00:00,NA,"Unknown","PH","R","2015"
"Nagarahole16_TGRu143",2015-07-28,"Unknown\5374_UN_PH_270715 (3)p44",1899-12-30 12:00:00,NA,"Unknown","PH","R","2015"
"Nagarahole16_TGRu576",2015-07-28,"Unknown\5374_UN_PH_270715 (3)p14",1899-12-30 12:00:00,NA,"Unknown","PH","R","2015"
"Nagarahole16_TGRu576",2015-07-28,"Unknown\5374_UN_PH_270715 (3)p14",1899-12-30 12:00:00,NA,"Unknown","PH","R","2015"
"NHT-R123",2015-07-28,"Unknown\5374_UN_PH_270715 (3)p73",1899-12-30 12:00:00,NA,"Unknown","PH","R","2015"
"NHT-R123",2015-07-28,"Unknown\5374_UN_PH_270715 (3)p73",1899-12-30 12:00:00,NA,"Unknown","PH","R","2015"
"Unknown_TGRs5569",2015-07-28,"Unknown\5373_UN_PH_270715 (2)",1899-12-30 12:00:00,NA,"Unknown","PH","R","2015"
"Unknown_TGRs5569",2015-07-28,"Unknown\5373_UN_PH_270715 (2)",1899-12-30 12:00:00,NA,"Unknown","PH","R","2015"
"Unknown_TGRs5574",2015-07-28,"Unknown\5376_UN_PH_270715 (5)",1899-12-30 12:00:00,NA,"Unknown","PH","L","2015"
"Unknown_TGRs5574",2015-07-28,"Unknown\5376_UN_PH_270715 (5)",1899-12-30 12:00:00,NA,"Unknown","PH","L","2015"
"Unknown_TGRs5575",2015-07-28,"Unknown\5377_UN_PH_270715 (6)",1899-12-30 12:00:00,NA,"Unknown","PH","L","2015"
"Unknown_TGRs5575",2015-07-28,"Unknown\5377_UN_PH_270715 (6)",1899-12-30 12:00:00,NA,"Unknown","PH","L","2015"
"Unknown_TGRs5578",2015-08-09,"Unknown\5380_UN_PE_090815-L",1899-12-30 12:00:00,NA,"Unknown","PE","L","2015"
"Unknown_TGRs5578",2015-08-09,"Unknown\5380_UN_PE_090815-R",1899-12-30 12:00:00,NA,"Unknown","PE","R","2015"
"Unknown_TGRs5579",2015-08-17,"Unknown\5381_IMG-20150818-WA0006",1899-12-30 12:00:00,NA,"Unknown","PH","L","2015"
"Unknown_TGRs5579",2015-08-17,"Unknown\5381_IMG-20150818-WA0006",1899-12-30 12:00:00,NA,"Unknown","PH","L","2015"
"NHT-R127",2015-08-22,"Nagarahole\6696_NH_DE_220815_L",1899-12-30 12:00:00,NA,"Nagarahole","DE","LV","2015"
"NHT-R127",2015-08-22,"Nagarahole\6696_NH_DE_220815_R",1899-12-30 12:00:00,NA,"Nagarahole","DE","RV","2015"
"NHT-R127",2015-08-23,"Nagarahole\5382_NH_DE_230815",1899-12-30 12:00:00,NA,"Nagarahole","DE","RV","2015"
"BPT-222",2015-08-24,"Bandipur\5383_BP_PH_240815",1899-12-30 06:48:00,NA,"Bandipur","PH","RV","2015"
"CauveryMM16_TGRu12",2015-08-29,"CauveryMM\16_1-2-2_H2970446",1899-12-30 19:34:08,"GNR 7.2","CauveryMM","CT","LV","16"
"CauveryMM16_TGRu12",2015-08-29,"CauveryMM\16_1-2-2_H2970446",1899-12-30 19:34:08,"GNR 7.2","CauveryMM","CT","LV","16"
"CauveryMM16_TGRu12",2015-08-29,"CauveryMM\16_1-2-1_H2970448",1899-12-30 19:34:08,"GNR 7.2","CauveryMM","CT","RV","16"
"CauveryMM16_TGRu12",2015-08-29,"CauveryMM\16_1-2-1_H2970448",1899-12-30 19:34:08,"GNR 7.2","CauveryMM","CT","RV","16"
"CauveryMM16_TGRu12",2015-08-29,"CauveryMM\16_1-1-1_H2975864",1899-12-30 21:04:24,"GNR 10.5","CauveryMM","CT","RV","16"
"CauveryMM16_TGRu12",2015-08-29,"CauveryMM\16_1-1-1_H2975864",1899-12-30 21:04:24,"GNR 10.5","CauveryMM","CT","RV","16"
"BiligiriRT13b_TGRu116",2015-08-30,"CauveryMM\16_13-1-1_H3002966",1899-12-30 00:49:26,"TNKR","CauveryMM","CT","L","16"
"BiligiriRT13b_TGRu116",2015-08-30,"CauveryMM\16_13-1-1_H3002966",1899-12-30 00:49:26,"TNKR","CauveryMM","CT","L","16"
"BiligiriRT13b_TGRu116",2015-08-30,"CauveryMM\16_13-1-2_H3002963",1899-12-30 00:49:26,"TNKR","CauveryMM","CT","RV","16"
"BiligiriRT13b_TGRu116",2015-08-30,"CauveryMM\16_13-1-2_H3002963",1899-12-30 00:49:26,"TNKR","CauveryMM","CT","RV","16"
"BiligiriRT13b_TGRu116",2015-09-02,"CauveryMM\16_3-1-1_I0286006",1899-12-30 23:53:26,"KMKR","CauveryMM","CT","LV","16"
"BiligiriRT13b_TGRu116",2015-09-02,"CauveryMM\16_3-1-1_I0286006",1899-12-30 23:53:26,"KMKR","CauveryMM","CT","LV","16"
"BiligiriRT13b_TGRu116",2015-09-02,"CauveryMM\16_3-1-2_I0286013",1899-12-30 23:53:26,"KMKR","CauveryMM","CT","R","16"
"BiligiriRT13b_TGRu116",2015-09-02,"CauveryMM\16_3-1-2_I0286013",1899-12-30 23:53:26,"KMKR","CauveryMM","CT","R","16"
"BiligiriRT13b_TGRu123",2015-09-04,"CauveryMM\16_4-2-2_I0413170",1899-12-30 03:39:26,"TNKR","CauveryMM","CT","LV","16"
"BiligiriRT13b_TGRu123",2015-09-04,"CauveryMM\16_4-2-2_I0413170",1899-12-30 03:39:26,"TNKR","CauveryMM","CT","LV","16"
"BiligiriRT13b_TGRu123",2015-09-04,"CauveryMM\16_4-2-1_I0413166",1899-12-30 03:39:26,"TNKR","CauveryMM","CT","RV","16"
"BiligiriRT13b_TGRu123",2015-09-04,"CauveryMM\16_4-2-1_I0413166",1899-12-30 03:39:26,"TNKR","CauveryMM","CT","RV","16"
"BiligiriRT13b_TGRu116",2015-09-06,"CauveryMM\16_4-1-1_I0679627",1899-12-30 22:07:07,"BGGR","CauveryMM","CT","LV","16"
"BiligiriRT13b_TGRu116",2015-09-06,"CauveryMM\16_4-1-1_I0679627",1899-12-30 22:07:07,"BGGR","CauveryMM","CT","LV","16"
"BiligiriRT13b_TGRu116",2015-09-06,"CauveryMM\16_4-1-2_I0679631",1899-12-30 22:07:07,"BGGR","CauveryMM","CT","RV","16"
"BiligiriRT13b_TGRu116",2015-09-06,"CauveryMM\16_4-1-2_I0679631",1899-12-30 22:07:07,"BGGR","CauveryMM","CT","RV","16"
"CauveryMM16_TGRu12",2015-09-06,"CauveryMM\16_5-1-1_I0685801",1899-12-30 23:50:01,"THR 11.7","CauveryMM","CT","L","16"
"CauveryMM16_TGRu12",2015-09-06,"CauveryMM\16_5-1-1_I0685801",1899-12-30 23:50:01,"THR 11.7","CauveryMM","CT","L","16"
"CauveryMM16_TGRu12",2015-09-06,"CauveryMM\16_5-1-2_I0685806",1899-12-30 23:50:01,"THR 11.7","CauveryMM","CT","R","16"
"CauveryMM16_TGRu12",2015-09-06,"CauveryMM\16_5-1-2_I0685806",1899-12-30 23:50:01,"THR 11.7","CauveryMM","CT","R","16"
"BiligiriRT13b_TGRu123",2015-09-07,"CauveryMM\16_6-1-2_I0778027",1899-12-30 21:40:27,"AKHR","CauveryMM","CT","L","16"
"BiligiriRT13b_TGRu123",2015-09-07,"CauveryMM\16_6-1-2_I0778027",1899-12-30 21:40:27,"AKHR","CauveryMM","CT","L","16"
"BiligiriRT13b_TGRu123",2015-09-07,"CauveryMM\16_6-1-1_I0778027",1899-12-30 21:40:27,"AKHR","CauveryMM","CT","RV","16"
"BiligiriRT13b_TGRu123",2015-09-07,"CauveryMM\16_6-1-1_I0778027",1899-12-30 21:40:27,"AKHR","CauveryMM","CT","RV","16"
"BiligiriRT13b_TGRu123",2015-09-14,"CauveryMM\16_8-1-2_I1400090",1899-12-30 00:01:24,"BGGR","CauveryMM","CT","LV","16"
"BiligiriRT13b_TGRu123",2015-09-14,"CauveryMM\16_8-1-2_I1400090",1899-12-30 00:01:24,"BGGR","CauveryMM","CT","LV","16"
"BiligiriRT13b_TGRu123",2015-09-14,"CauveryMM\16_8-1-1_I1400084",1899-12-30 00:01:24,"BGGR","CauveryMM","CT","RV","16"
"BiligiriRT13b_TGRu123",2015-09-14,"CauveryMM\16_8-1-1_I1400084",1899-12-30 00:01:24,"BGGR","CauveryMM","CT","RV","16"
"BiligiriRT13b_TGRu116",2015-09-15,"CauveryMM\16_7-1-2_I1502040",1899-12-30 00:33:55,"DHGR","CauveryMM","CT","LV","16"
"BiligiriRT13b_TGRu116",2015-09-15,"CauveryMM\16_7-1-2_I1502040",1899-12-30 00:33:55,"DHGR","CauveryMM","CT","LV","16"
"BiligiriRT13b_TGRu116",2015-09-15,"CauveryMM\16_7-1-1_I1502035",1899-12-30 00:33:55,"DHGR","CauveryMM","CT","RV","16"
"BiligiriRT13b_TGRu116",2015-09-15,"CauveryMM\16_7-1-1_I1502035",1899-12-30 00:33:55,"DHGR","CauveryMM","CT","RV","16"
"CauveryMM16_TGRu4",2015-09-18,"CauveryMM\16_9-1-1_I1802100",1899-12-30 00:35:00,"ABR 2.6","CauveryMM","CT","L","16"
"CauveryMM16_TGRu4",2015-09-18,"CauveryMM\16_9-1-1_I1802100",1899-12-30 00:35:00,"ABR 2.6","CauveryMM","CT","L","16"
"CauveryMM16_TGRu4",2015-09-18,"CauveryMM\16_9-1-2_I1802084",1899-12-30 00:35:00,"ABR 2.6","CauveryMM","CT","R","16"
"CauveryMM16_TGRu4",2015-09-18,"CauveryMM\16_9-1-2_I1802084",1899-12-30 00:35:00,"ABR 2.6","CauveryMM","CT","R","16"
"Nagarahole_TGRs6923",2015-09-19,"Nagarahole\6681_NH_PH_190915_2",1899-12-30 12:00:00,NA,"Nagarahole","PH","L","2015"
"Nagarahole_TGRs6923",2015-09-19,"Nagarahole\6681_NH_PH_190915_2",1899-12-30 12:00:00,NA,"Nagarahole","PH","L","2015"
"Nagarahole_TGRs6923",2015-09-19,"Nagarahole\6681_NH_PH_190915_1",1899-12-30 12:00:00,NA,"Nagarahole","PH","L","2015"
"Nagarahole_TGRs6923",2015-09-19,"Nagarahole\6681_NH_PH_190915_1",1899-12-30 12:00:00,NA,"Nagarahole","PH","L","2015"
"BiligiriRT13b_TGRu123",2015-09-21,"CauveryMM\16_10-1-1_I2182423",1899-12-30 22:53:43,"NPR","CauveryMM","CT","LV","16"
"BiligiriRT13b_TGRu123",2015-09-21,"CauveryMM\16_10-1-1_I2182423",1899-12-30 22:53:43,"NPR","CauveryMM","CT","LV","16"
"BiligiriRT13b_TGRu123",2015-09-21,"CauveryMM\16_10-1-2_I2182424",1899-12-30 22:53:43,"NPR","CauveryMM","CT","R","16"
"BiligiriRT13b_TGRu123",2015-09-21,"CauveryMM\16_10-1-2_I2182424",1899-12-30 22:53:43,"NPR","CauveryMM","CT","R","16"
"CauveryMM16_TGRu12",2015-09-24,"CauveryMM\16_11-1-1_I2403621",1899-12-30 01:00:21,"ABR 2.6","CauveryMM","CT","LV","16"
"CauveryMM16_TGRu12",2015-09-24,"CauveryMM\16_11-1-1_I2403621",1899-12-30 01:00:21,"ABR 2.6","CauveryMM","CT","LV","16"
"CauveryMM16_TGRu12",2015-09-24,"CauveryMM\16_11-1-2_I2403615",1899-12-30 01:00:21,"ABR 2.6","CauveryMM","CT","R","16"
"CauveryMM16_TGRu12",2015-09-24,"CauveryMM\16_11-1-2_I2403615",1899-12-30 01:00:21,"ABR 2.6","CauveryMM","CT","R","16"
"CauveryMM16_TGRu26",2015-09-25,"CauveryMM\16_12-1-1_I2581236",1899-12-30 22:59:56,"GMTR 7.8","CauveryMM","CT","UL","16"
"CauveryMM16_TGRu26",2015-09-25,"CauveryMM\16_12-1-1_I2581236",1899-12-30 22:59:56,"GMTR 7.8","CauveryMM","CT","UL","16"
"Bhadra_TGRs6991",2015-09-27,"Bhadra\6746_SHT-01-M-Left",1899-12-30 19:45:00,NA,"Bhadra","PH","L","2016"
"Bhadra_TGRs6991",2015-09-27,"Bhadra\6746_SHT-01-M-Left",1899-12-30 19:45:00,NA,"Bhadra","PH","L","2016"
"Bhadra_TGRs5557",2015-09-29,"Bhadra\6747_SHT-01-M",1899-12-30 14:11:00,NA,"Bhadra","PH","RV","2016"
"CauveryMM16_TGRu4",2015-09-30,"CauveryMM\16_2-1-2_I3016102",1899-12-30 04:28:25,"PBR","CauveryMM","CT","LV","16"
"CauveryMM16_TGRu4",2015-09-30,"CauveryMM\16_2-1-2_I3016102",1899-12-30 04:28:25,"PBR","CauveryMM","CT","LV","16"
"CauveryMM16_TGRu4",2015-09-30,"CauveryMM\16_2-1-1_I3016105",1899-12-30 04:28:25,"PBR","CauveryMM","CT","RV","16"
"CauveryMM16_TGRu4",2015-09-30,"CauveryMM\16_2-1-1_I3016105",1899-12-30 04:28:25,"PBR","CauveryMM","CT","RV","16"
"Bandipur15_TGRu261",2015-10-13,"Wayanad\6673_WY_DE_131015_L",1899-12-30 12:00:00,NA,"Wayanad","DE","L","2015"
"Bandipur15_TGRu261",2015-10-13,"Wayanad\6673_WY_DE_131015_L",1899-12-30 12:00:00,NA,"Wayanad","DE","L","2015"
